Protein,PName,PepCount,BL_BLUS_pval,BL_OGD_pval,OGD_OGDUS_pval,BL_OGD_FC,BL_BLUS_FC,OGD_OGDUS_FC,BL_Avg,BL_avg2,BL+US,OGD_avg,OGD_avg2,OGD+US
SRGP2_MOUSE,SLIT-ROBO Rho GTPase-activating protein 2; Short=srGAP2; AltName: Full=Formin-binding protein 2; AltName: Full=Formin-binding protein 27; Short=FBP-27; Accession=Q91Z67; B2RY13; Q3V1V8; Q61054; [Mus musculus (Mouse)],6,0.95,0.91,0.47,-0.05,-0.03,0.23,24.60,24.60,24.63,24.66,24.66,24.43
SRP54_MOUSE,Signal recognition particle 54 kDa protein; Short=SRP54; Accession=P14576; Q3UWX8; Q9CWH7; Q9D008; [Mus musculus (Mouse)],12,0.81,0.53,0.48,0.16,-0.05,-0.16,24.48,24.48,24.53,24.32,24.32,24.48
SRP68_MOUSE,Signal recognition particle subunit SRP68; Short=SRP68; AltName: Full=Signal recognition particle 68 kDa protein; Accession=Q8BMA6; A2AAN1; Q6NS76; [Mus musculus (Mouse)],9,0.84,0.52,1.00,0.09,0.04,0.00,26.28,26.28,26.25,26.19,26.19,26.19
SRPK3_MOUSE,SRSF protein kinase 3; EC=2.7.11.1; AltName: Full=Muscle-specific serine kinase 1; Short=MSSK-1; AltName: Full=Serine/arginine-rich protein-specific kinase 3; Short=SR-protein-specific kinase 3; AltName: Full=Serine/threonine-protein kinase 23; Accession=,1,0.89,1.00,0.60,0.00,-0.09,0.35,22.10,22.10,22.18,22.10,22.10,21.75
SRPRA_MOUSE,Signal recognition particle receptor subunit alpha; Short=SR-alpha; AltName: Full=Docking protein alpha; Short=DP-alpha; Accession=Q9DBG7; Q8VC45; Q921H1; [Mus musculus (Mouse)],9,0.70,0.22,0.48,0.35,-0.07,-0.17,25.46,25.46,25.53,25.11,25.11,25.28
SRPRB_MOUSE,Signal recognition particle receptor subunit beta; Short=SR-beta; Accession=P47758; Q544X9; Q9D872; [Mus musculus (Mouse)],7,0.79,0.11,0.78,-0.16,-0.02,0.03,26.34,26.34,26.36,26.50,26.50,26.47
SRRM1_MOUSE,Serine/arginine repetitive matrix protein 1; AltName: Full=Plenty-of-prolines 101; Accession=Q52KI8; E9QNW8; O70495; Q9CVG5; [Mus musculus (Mouse)],6,0.15,0.24,0.85,-0.32,-0.47,-0.06,24.23,24.23,24.69,24.55,24.55,24.60
SRRM2_MOUSE,Serine/arginine repetitive matrix protein 2; Accession=Q8BTI8; E9QNB0; Q3TBY5; Q569P9; Q80U37; Q8K383; [Mus musculus (Mouse)],12,0.16,0.83,0.98,-0.04,-0.25,0.01,25.39,25.39,25.64,25.42,25.42,25.42
SRRT_MOUSE,Serrate RNA effector molecule homolog; AltName: Full=Arsenite-resistance protein 2; Accession=Q99MR6; Q3UD04; Q5D042; Q8VEE6; Q99MR4; Q99MR5; Q99MR7; [Mus musculus (Mouse)],13,0.96,0.33,0.58,0.20,-0.01,-0.13,24.37,24.37,24.38,24.16,24.16,24.29
SRS10_MOUSE,"Serine/arginine-rich splicing factor 10; AltName: Full=FUS-interacting serine-arginine-rich protein 1; AltName: Full=Neural-salient serine/arginine-rich protein; AltName: Full=Neural-specific SR protein; AltName: Full=Splicing factor, arginine/serine-rich",6,0.26,0.99,0.48,0.00,-0.23,-0.15,26.27,26.27,26.50,26.27,26.27,26.42
SRSF1_MOUSE,"Serine/arginine-rich splicing factor 1; AltName: Full=ASF/SF2; AltName: Full=Pre-mRNA-splicing factor SRp30a; AltName: Full=Splicing factor, arginine/serine-rich 1; Accession=Q6PDM2; B2KGJ5; Q3UCH2; Q5SXC5; Q8BJV3; Q8C1H9; [Mus musculus (Mouse)]",15,0.77,0.61,0.60,0.10,-0.04,-0.10,27.87,27.87,27.91,27.77,27.77,27.87
SRSF2_MOUSE,"Serine/arginine-rich splicing factor 2; AltName: Full=Protein PR264; AltName: Full=Putative myelin regulatory factor 1; Short=MRF-1; AltName: Full=Splicing component, 35 kDa; AltName: Full=Splicing factor SC35; Short=SC-35; AltName: Full=Splicing factor, ",9,0.56,1.00,0.60,0.00,-0.10,-0.13,27.88,27.88,27.98,27.88,27.88,28.01
SRSF3_MOUSE,"Serine/arginine-rich splicing factor 3; AltName: Full=Pre-mRNA-splicing factor SRP20; AltName: Full=Protein X16; AltName: Full=Splicing factor, arginine/serine-rich 3; Accession=P84104; O08831; P23152; Q564E9; [Mus musculus (Mouse)]",8,0.14,0.19,0.51,-0.15,-0.17,0.07,29.67,29.67,29.84,29.83,29.83,29.76
SRSF4_MOUSE,"Serine/arginine-rich splicing factor 4; AltName: Full=Splicing factor, arginine/serine-rich 4; Accession=Q8VE97; Q9JJC3; [Mus musculus (Mouse)]",7,0.23,0.32,0.32,-0.33,-0.31,-0.29,23.92,23.92,24.23,24.26,24.26,24.55
SRSF5_MOUSE,"Serine/arginine-rich splicing factor 5; AltName: Full=Delayed-early protein HRS; AltName: Full=Pre-mRNA-splicing factor SRP40; AltName: Full=Splicing factor, arginine/serine-rich 5; Accession=O35326; Q640L9; [Mus musculus (Mouse)]",10,0.82,0.61,0.56,0.06,-0.03,-0.11,27.42,27.42,27.46,27.36,27.36,27.48
SRSF6_MOUSE,"Serine/arginine-rich splicing factor 6; AltName: Full=Pre-mRNA-splicing factor SRP55; AltName: Full=Splicing factor, arginine/serine-rich 6; Accession=Q3TWW8; Q3UJV5; Q921K3; Q9DBP1; [Mus musculus (Mouse)]",4,0.89,0.79,0.68,0.03,-0.02,-0.06,27.13,27.13,27.15,27.09,27.09,27.15
SRSF7_MOUSE,"Serine/arginine-rich splicing factor 7; AltName: Full=Splicing factor, arginine/serine-rich 7; Accession=Q8BL97; Q8BMC6; Q8BUR2; Q8R2N4; Q8R3E9; Q91YS1; [Mus musculus (Mouse)]",5,0.99,0.58,0.58,0.19,0.00,0.23,26.21,26.21,26.21,26.02,26.02,25.79
SRSF9_MOUSE,"Serine/arginine-rich splicing factor 9; AltName: Full=Splicing factor, arginine/serine-rich 9; Accession=Q9D0B0; Q9CRN3; [Mus musculus (Mouse)]",4,0.81,0.85,0.17,0.13,-0.18,-0.51,23.63,23.63,23.82,23.50,23.50,24.01
SSFA2_MOUSE,Sperm-specific antigen 2 homolog; AltName: Full=Ki-ras-induced actin-interacting protein; Accession=Q8CH96; Q8VEF7; [Mus musculus (Mouse)],1,0.78,0.22,0.79,0.36,0.05,0.08,23.82,23.82,23.77,23.46,23.46,23.38
SSRA_MOUSE,Translocon-associated protein subunit alpha; Short=TRAP-alpha; AltName: Full=Signal sequence receptor subunit alpha; Short=SSR-alpha; Flags: Precursor; Accession=Q9CY50; Q3TIM3; Q99MP2; [Mus musculus (Mouse)],2,0.61,0.39,0.39,-0.30,-0.20,0.33,23.52,23.52,23.72,23.82,23.82,23.49
SSRD_MOUSE,Translocon-associated protein subunit delta; Short=TRAP-delta; AltName: Full=Signal sequence receptor subunit delta; Short=SSR-delta; Flags: Precursor; Accession=Q62186; [Mus musculus (Mouse)],7,0.30,0.76,1.00,0.05,-0.14,0.00,26.04,26.04,26.18,25.99,25.99,25.99
SSRG_MOUSE,Translocon-associated protein subunit gamma; Short=TRAP-gamma; AltName: Full=Signal sequence receptor subunit gamma; Short=SSR-gamma; Accession=Q9DCF9; Q8C0Z8; [Mus musculus (Mouse)],5,1.00,0.83,0.77,-0.02,0.00,0.03,27.13,27.13,27.13,27.15,27.15,27.12
SSRP1_MOUSE,FACT complex subunit SSRP1; AltName: Full=Facilitates chromatin transcription complex subunit SSRP1; AltName: Full=Recombination signal sequence recognition protein 1; AltName: Full=Structure-specific recognition protein 1; AltName: Full=T160; Accession=Q,4,0.53,0.50,0.34,0.72,-0.74,-1.00,24.30,24.30,25.04,23.58,23.58,24.58
SSU72_MOUSE,RNA polymerase II subunit A C-terminal domain phosphatase SSU72; Short=CTD phosphatase SSU72; EC=3.1.3.16; Accession=Q9CY97; Q3UF99; Q91YL1; Q9DB51; [Mus musculus (Mouse)],4,0.54,0.47,0.51,0.20,0.11,-0.27,23.49,23.49,23.38,23.29,23.29,23.56
STAB1_MOUSE,"Stabilin-1; AltName: Full=Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 1; Short=FEEL-1; Flags: Precursor; Accession=Q8R4Y4; Q8K0K6; Q8VC09; [Mus musculus (Mouse)]",10,0.86,0.37,0.83,0.29,0.04,-0.08,26.74,26.74,26.69,26.45,26.45,26.54
STABP_MOUSE,STAM-binding protein; EC=3.4.19.-; AltName: Full=Associated molecule with the SH3 domain of STAM; Accession=Q9CQ26; Q3UTI9; [Mus musculus (Mouse)],2,0.97,0.26,0.53,-0.69,0.02,0.53,22.60,22.60,22.58,23.29,23.29,22.76
STAG1_MOUSE,Cohesin subunit SA-1; AltName: Full=SCC3 homolog 1; AltName: Full=Stromal antigen 1; Accession=Q9D3E6; O08982; Q6P5D1; [Mus musculus (Mouse)],1,,,0.59,,,-0.29,,,,,23.41,23.70
STAM1_MOUSE,Signal transducing adapter molecule 1; Short=STAM-1; Accession=P70297; [Mus musculus (Mouse)],3,0.91,0.76,0.52,-0.10,-0.05,0.26,23.85,23.85,23.91,23.96,23.96,23.69
STAM2_MOUSE,Signal transducing adapter molecule 2; Short=STAM-2; AltName: Full=Hrs-binding protein; Accession=O88811; A2AU00; Q8C8Y4; [Mus musculus (Mouse)],3,0.35,0.51,0.76,0.12,0.21,0.09,23.79,23.79,23.58,23.67,23.67,23.59
STAP2_MOUSE,Signal-transducing adaptor protein 2; Short=STAP-2; Accession=Q8R0L1; Q8BWS2; [Mus musculus (Mouse)],1,0.09,0.50,0.47,-0.38,-1.05,-0.77,22.44,22.44,23.48,22.81,22.81,23.59
STAT1_MOUSE,Signal transducer and activator of transcription 1; Accession=P42225; [Mus musculus (Mouse)],6,0.16,0.09,0.39,-0.73,-0.51,0.37,23.78,23.78,24.29,24.50,24.50,24.13
STAT3_MOUSE,Signal transducer and activator of transcription 3; AltName: Full=Acute-phase response factor; Accession=P42227; A2A5D1; B7ZC17; [Mus musculus (Mouse)],8,0.26,0.09,0.10,0.54,-0.31,-0.47,24.44,24.44,24.75,23.90,23.90,24.38
STAT6_MOUSE,Signal transducer and transcription activator 6; Accession=P52633; Q8R2F1; [Mus musculus (Mouse)],3,0.26,0.65,0.69,-0.32,-0.53,0.50,23.35,23.35,23.88,23.66,23.66,23.16
STBD1_MOUSE,Starch-binding domain-containing protein 1 {ECO:0000303|PubMed:20810658}; AltName: Full=Genethonin-1 {ECO:0000303|PubMed:20810658}; AltName: Full=Glycophagy cargo receptor stbd1 {ECO:0000305}; Accession=Q8C7E7; Q147T8; [Mus musculus (Mouse)],3,0.51,0.44,0.70,-0.43,-0.45,0.12,23.34,23.34,23.79,23.78,23.78,23.66
STIM1_MOUSE,Stromal interaction molecule 1; Flags: Precursor; Accession=P70302; Q8K1E1; [Mus musculus (Mouse)],15,0.67,0.51,0.81,-0.11,-0.07,-0.03,25.53,25.53,25.60,25.64,25.64,25.67
STIM2_MOUSE,Stromal interaction molecule 2; Flags: Precursor; Accession=P83093; Q69ZI3; Q80VF4; [Mus musculus (Mouse)],2,,0.47,0.41,-0.80,,0.93,,22.26,,23.05,23.05,22.13
STING_MOUSE,"Stimulator of interferon genes protein {ECO:0000303|PubMed:18724357, ECO:0000303|PubMed:19776740}; Short=mSTING {ECO:0000303|PubMed:18724357, ECO:0000303|PubMed:19776740}; AltName: Full=Endoplasmic reticulum interferon stimulator {ECO:0000303|PubMed:19433",3,0.90,0.89,0.76,-0.04,0.04,-0.12,25.01,25.01,24.98,25.05,25.05,25.17
STIP1_MOUSE,Stress-induced-phosphoprotein 1; Short=STI1; Short=mSTI1; AltName: Full=Hsc70/Hsp90-organizing protein; Short=Hop; Accession=Q60864; Q3TT16; Q8BPH3; Q99L66; [Mus musculus (Mouse)],32,0.40,0.98,0.47,0.00,-0.09,0.10,29.23,29.23,29.32,29.23,29.23,29.13
STK24_MOUSE,Serine/threonine-protein kinase 24; EC=2.7.11.1; AltName: Full=Mammalian STE20-like protein kinase 3; Short=MST-3; AltName: Full=STE20-like kinase MST3; Contains: Serine/threonine-protein kinase 24 35 kDa subunit; AltName: Full=Mammalian STE20-like protei,2,,,,,,,,,,,,
STK25_MOUSE,Serine/threonine-protein kinase 25; EC=2.7.11.1; AltName: Full=Ste20-like kinase; AltName: Full=Sterile 20/oxidant stress-response kinase 1; Short=SOK-1; Short=Ste20/oxidant stress response kinase 1; Accession=Q9Z2W1; Q6IR17; [Mus musculus (Mouse)],5,0.08,0.21,0.30,0.34,0.40,0.39,23.73,23.73,23.33,23.39,23.39,23.01
STK26_MOUSE,Serine/threonine-protein kinase 26 {ECO:0000305}; EC=2.7.11.1 {ECO:0000250|UniProtKB:Q9P289}; AltName: Full=Mammalian STE20-like protein kinase 4 {ECO:0000305}; Short=MST-4 {ECO:0000305}; AltName: Full=STE20-like kinase MST4 {ECO:0000305}; AltName: Full=S,1,0.53,0.69,0.51,0.09,-0.13,0.10,24.20,24.20,24.34,24.11,24.11,24.01
STK3_MOUSE,Serine/threonine-protein kinase 3; EC=2.7.11.1; AltName: Full=Mammalian STE20-like protein kinase 2; Short=MST-2; AltName: Full=STE20-like kinase MST2; Contains: Serine/threonine-protein kinase 3 36kDa subunit; Short=MST2/N; Contains: Serine/threonine-pro,6,0.77,0.78,0.46,-0.07,0.07,-0.20,24.59,24.59,24.52,24.65,24.65,24.86
STK38_MOUSE,Serine/threonine-protein kinase 38; EC=2.7.11.1; AltName: Full=NDR1 protein kinase; AltName: Full=Nuclear Dbf2-related kinase 1; Accession=Q91VJ4; [Mus musculus (Mouse)],1,0.01,0.06,0.49,0.82,0.87,-0.42,23.81,23.81,22.94,22.99,22.99,23.41
STK4_MOUSE,Serine/threonine-protein kinase 4; EC=2.7.11.1; AltName: Full=Mammalian STE20-like protein kinase 1; Short=MST-1; AltName: Full=STE20-like kinase MST1; Contains: Serine/threonine-protein kinase 4 37kDa subunit; Short=MST1/N; Contains: Serine/threonine-pro,1,0.16,0.21,0.35,1.62,1.43,-0.50,27.34,27.34,25.91,25.71,25.71,26.21
STML2_MOUSE,"Stomatin-like protein 2, mitochondrial; Short=SLP-2; Short=mslp2; Flags: Precursor; Accession=Q99JB2; Q9DCG8; [Mus musculus (Mouse)]",11,0.75,0.82,1.00,0.06,-0.05,0.00,25.45,25.45,25.50,25.39,25.39,25.39
STMN1_MOUSE,Stathmin; AltName: Full=Leukemia-associated gene protein; AltName: Full=Leukemia-associated phosphoprotein p18; AltName: Full=Metablastin; AltName: Full=Oncoprotein 18; Short=Op18; AltName: Full=Phosphoprotein p19; Short=pp19; AltName: Full=Prosolin; AltN,23,0.96,0.79,0.77,-0.07,0.02,-0.05,27.42,27.42,27.40,27.48,27.48,27.54
STMN2_MOUSE,Stathmin-2; AltName: Full=Superior cervical ganglion-10 protein; Short=Protein SCG10; Accession=P55821; [Mus musculus (Mouse)],3,0.06,0.81,0.49,0.08,0.59,0.44,24.74,24.74,24.15,24.66,24.66,24.22
STOM_MOUSE,Erythrocyte band 7 integral membrane protein; AltName: Full=Protein 7.2b; AltName: Full=Stomatin; Accession=P54116; O88988; Q3UP81; Q60744; Q62455; [Mus musculus (Mouse)],2,0.73,0.80,0.78,0.10,0.11,-0.12,23.08,23.08,22.97,22.98,22.98,23.10
STON1_MOUSE,Stonin-1; AltName: Full=Stoned B-like factor; Accession=Q8CDJ8; Q8CDL8; Q9D5T3; [Mus musculus (Mouse)],4,0.30,0.58,0.26,0.20,-0.35,-0.43,24.62,24.62,24.97,24.42,24.42,24.85
STRAP_MOUSE,Serine-threonine kinase receptor-associated protein; AltName: Full=UNR-interacting protein; Accession=Q9Z1Z2; Q8BP89; Q8C6F6; [Mus musculus (Mouse)],9,0.31,0.91,0.97,-0.02,-0.13,-0.01,26.47,26.47,26.60,26.49,26.49,26.49
STRN_MOUSE,Striatin; Accession=O55106; B2RWV9; Q5BKR9; [Mus musculus (Mouse)],2,0.08,0.17,0.91,0.37,0.56,0.02,25.51,25.51,24.95,25.15,25.15,25.13
STRN3_MOUSE,Striatin-3; AltName: Full=Cell cycle autoantigen SG2NA; AltName: Full=S/G2 antigen; Accession=Q9ERG2; [Mus musculus (Mouse)],4,0.20,0.11,0.64,-0.81,-0.60,-0.13,23.32,23.32,23.92,24.13,24.13,24.27
STRN4_MOUSE,Striatin-4; AltName: Full=Zinedin; Accession=P58404; E9QKX6; Q68EF5; [Mus musculus (Mouse)],1,0.12,0.33,,1.47,0.61,,22.54,22.54,21.93,21.07,,
STRUM_MOUSE,WASH complex subunit strumpellin; Accession=Q8C2E7; Q8BGY1; Q8K2J2; [Mus musculus (Mouse)],2,0.78,0.09,,1.51,0.27,,28.45,28.45,28.17,26.94,,
STT3A_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A; Short=Oligosaccharyl transferase subunit STT3A; Short=STT3-A; EC=2.4.99.18; AltName: Full=B5; AltName: Full=Integral membrane protein 1; Accession=P46978; [Mus musculus (Mouse)],3,0.93,0.80,0.50,-0.11,0.03,0.33,27.09,27.09,27.06,27.20,27.20,26.87
STT3B_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B; Short=Oligosaccharyl transferase subunit STT3B; Short=STT3-B; EC=2.4.99.18; AltName: Full=B6dom1 antigen; AltName: Full=Source of immunodominant MHC-associated peptides; Accessi,7,0.23,0.59,0.68,0.07,-0.17,-0.06,26.47,26.47,26.63,26.39,26.39,26.45
STX16_MOUSE,Syntaxin-16; Accession=Q8BVI5; A2ACM7; [Mus musculus (Mouse)],2,0.15,0.32,0.90,0.58,0.98,0.05,22.56,22.56,21.58,21.97,21.97,21.92
STX17_MOUSE,Syntaxin-17 {ECO:0000303|PubMed:23006999}; Accession=Q9D0I4; B1AVI3; Q9D330; [Mus musculus (Mouse)],1,0.73,0.64,0.37,-0.33,-0.27,-0.57,22.47,22.47,22.74,22.79,22.79,23.36
STX18_MOUSE,Syntaxin-18; Accession=Q8VDS8; Q3TDJ0; Q9D8T6; [Mus musculus (Mouse)],1,0.91,0.30,0.11,-0.49,-0.08,0.43,22.85,22.85,22.93,23.34,23.34,22.91
STX2_MOUSE,Syntaxin-2; AltName: Full=Epimorphin; Accession=Q00262; [Mus musculus (Mouse)],3,0.26,0.72,0.23,-0.07,-0.17,-0.26,23.97,23.97,24.14,24.04,24.04,24.30
STX4_MOUSE,Syntaxin-4; Accession=P70452; Q3TSL5; Q3UKQ8; Q80WT8; [Mus musculus (Mouse)],4,0.69,0.58,0.95,0.11,0.06,0.02,23.85,23.85,23.79,23.74,23.74,23.72
STX5_MOUSE,Syntaxin-5; Accession=Q8K1E0; Q3TM79; Q99J28; Q9JKP2; [Mus musculus (Mouse)],2,0.14,0.07,0.59,-1.38,-1.04,0.16,22.79,22.79,23.83,24.17,24.17,24.01
STX7_MOUSE,Syntaxin-7; Accession=O70439; [Mus musculus (Mouse)],1,0.57,0.43,0.67,1.12,-0.67,0.76,24.42,24.42,25.09,23.30,23.30,22.53
STXB1_MOUSE,Syntaxin-binding protein 1; AltName: Full=Protein unc-18 homolog 1; Short=Unc18-1; AltName: Full=Protein unc-18 homolog A; Short=Unc-18A; Accession=O08599; A2ARS2; A2ARS3; A2ARS4; Q5WAC6; Q8VD51; [Mus musculus (Mouse)],6,0.72,0.03,0.48,0.45,-0.04,-0.20,25.20,25.20,25.24,24.75,24.75,24.94
STXB2_MOUSE,Syntaxin-binding protein 2; AltName: Full=MUSEC1; AltName: Full=Protein unc-18 homolog 2; Short=Munc18-2; Short=Unc18-2; AltName: Full=Protein unc-18 homolog B; Short=Unc-18B; Accession=Q64324; [Mus musculus (Mouse)],11,0.63,0.76,0.71,-0.09,-0.10,-0.10,25.54,25.54,25.64,25.62,25.62,25.73
STXB3_MOUSE,Syntaxin-binding protein 3; AltName: Full=MUNC-18-3; AltName: Full=Mammalian homolog of Unc-18c; Short=Munc-18c; AltName: Full=Protein unc-18 homolog 3; Short=Unc18-3; AltName: Full=Protein unc-18 homolog C; Short=Unc-18C; Accession=Q60770; Q3TE73; Q3U2S2,3,,,,,,,,,,,,
SUCA_MOUSE,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial; EC=6.2.1.4; EC=6.2.1.5; AltName: Full=Succinyl-CoA synthetase subunit alpha; Short=SCS-alpha; Flags: Precursor; Accession=Q9WUM5; Q8C2C3; Q9DBA3; Q9DCI8; [Mus musculus (Mouse)]",12,0.36,0.42,0.97,-0.17,-0.17,-0.01,25.82,25.82,25.99,25.99,25.99,26.00
SUCB1_MOUSE,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial; EC=6.2.1.5; AltName: Full=ATP-specific succinyl-CoA synthetase subunit beta; AltName: Full=Succinyl-CoA synthetase beta-A chain; Short=SCS-betaA; Flags: Precursor; Accession=Q9Z2I9; Q3TVH1; ",5,0.31,0.58,0.06,-0.20,-0.41,-0.47,25.79,25.79,26.20,25.99,25.99,26.45
SUCB2_MOUSE,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial; EC=6.2.1.4; AltName: Full=GTP-specific succinyl-CoA synthetase subunit beta; AltName: Full=Succinyl-CoA synthetase beta-G chain; Short=SCS-betaG; Flags: Precursor; Accession=Q9Z2I8; Q3T9B8; ",7,0.71,0.08,0.79,0.37,0.06,0.08,25.97,25.97,25.90,25.60,25.60,25.52
SUMF1_MOUSE,Sulfatase-modifying factor 1; EC=1.8.99.-; AltName: Full=C-alpha-formylglycine-generating enzyme 1; Flags: Precursor; Accession=Q8R0F3; Q3TTT6; Q3TXM8; Q3U9A5; [Mus musculus (Mouse)],1,0.26,0.21,0.23,0.54,-0.33,-0.53,23.93,23.93,24.26,23.39,23.39,23.92
SUMO3_MOUSE,Small ubiquitin-related modifier 3 {ECO:0000305}; Short=SUMO-3 {ECO:0000305}; AltName: Full=SMT3 homolog 1 {ECO:0000312|MGI:MGI:1336201}; AltName: Full=Ubiquitin-like protein SMT3A {ECO:0000303|PubMed:9891849}; Short=Smt3A {ECO:0000303|PubMed:9891849}; Fl,1,0.12,0.34,0.36,0.72,0.70,0.57,23.55,23.55,22.86,22.83,22.83,22.26
SUN1_MOUSE,SUN domain-containing protein 1; AltName: Full=Protein unc-84 homolog A; AltName: Full=Sad1/unc-84 protein-like 1; Accession=Q9D666; Q3TIW3; Q3TV96; Q6B4H0; Q80SU8; Q8BZ99; Q99P23; [Mus musculus (Mouse)],2,0.81,0.85,0.99,-0.12,-0.14,-0.01,22.82,22.82,22.96,22.93,22.93,22.94
SUN2_MOUSE,SUN domain-containing protein 2; AltName: Full=Protein unc-84 homolog B; AltName: Full=Sad1/unc-84 protein-like 2; Accession=Q8BJS4; Q3TBU0; Q3U160; Q6B4H2; [Mus musculus (Mouse)],13,0.31,0.88,0.21,0.04,-0.25,-0.27,25.13,25.13,25.38,25.09,25.09,25.37
SURF4_MOUSE,Surfeit locus protein 4; Accession=Q64310; [Mus musculus (Mouse)],3,0.35,0.96,0.33,-0.02,-0.24,-0.30,25.15,25.15,25.39,25.17,25.17,25.47
SURF6_MOUSE,Surfeit locus protein 6; Accession=P70279; Q8BPI4; Q8BRL7; Q8R0Q7; [Mus musculus (Mouse)],2,0.73,0.04,0.52,-0.86,-0.12,0.22,23.07,23.07,23.19,23.93,23.93,23.71
SVIL_MOUSE,Supervillin; AltName: Full=Archvillin; AltName: Full=p205/p250; Accession=Q8K4L3; E9Q983; [Mus musculus (Mouse)],3,0.80,0.70,0.86,-0.78,0.56,-0.05,26.36,26.36,25.81,27.14,27.14,27.19
SWP70_MOUSE,Switch-associated protein 70; Short=SWAP-70; Accession=Q6A028; O88443; Q3TQR6; Q3UCA3; Q6P1D0; [Mus musculus (Mouse)],12,0.37,0.90,0.59,-0.05,0.35,0.34,24.25,24.25,23.90,24.30,24.30,23.95
SYAC_MOUSE,"Alanine--tRNA ligase, cytoplasmic {ECO:0000255|HAMAP-Rule:MF_03133}; EC=6.1.1.7 {ECO:0000255|HAMAP-Rule:MF_03133}; AltName: Full=Alanyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_03133}; Short=AlaRS {ECO:0000255|HAMAP-Rule:MF_03133}; Accession=Q8BGQ7; Q8B",23,0.99,0.43,0.73,0.12,0.00,-0.04,25.71,25.71,25.71,25.60,25.60,25.63
SYAP1_MOUSE,Synapse-associated protein 1; Accession=Q9D5V6; Q3UI67; Q9D870; [Mus musculus (Mouse)],4,0.23,0.34,0.84,0.29,0.39,-0.04,26.25,26.25,25.87,25.96,25.96,26.00
SYCC_MOUSE,"Cysteine--tRNA ligase, cytoplasmic; EC=6.1.1.16; AltName: Full=Cysteinyl-tRNA synthetase; Short=CysRS; Accession=Q9ER72; O88303; Q8BP81; Q8CAY7; Q8CCE3; Q8K0S4; Q9ER68; [Mus musculus (Mouse)]",6,0.98,0.72,0.14,0.16,-0.01,-0.23,23.81,23.81,23.83,23.65,23.65,23.88
SYDC_MOUSE,"Aspartate--tRNA ligase, cytoplasmic; EC=6.1.1.12; AltName: Full=Aspartyl-tRNA synthetase; Short=AspRS; Accession=Q922B2; Q3U987; [Mus musculus (Mouse)]",14,0.36,0.34,0.65,-0.20,-0.20,-0.06,27.34,27.34,27.55,27.54,27.54,27.60
SYEP_MOUSE,Bifunctional glutamate/proline--tRNA ligase; AltName: Full=Bifunctional aminoacyl-tRNA synthetase; Includes: Glutamate--tRNA ligase; EC=6.1.1.17; AltName: Full=Glutamyl-tRNA synthetase; Short=GluRS; Includes: Proline--tRNA ligase; EC=6.1.1.15; AltName: Fu,52,0.18,0.94,0.94,-0.01,-0.21,-0.01,26.63,26.63,26.84,26.64,26.64,26.65
SYFA_MOUSE,Phenylalanine--tRNA ligase alpha subunit; EC=6.1.1.20 {ECO:0000250|UniProtKB:Q9Y285}; AltName: Full=Phenylalanyl-tRNA synthetase alpha subunit; Short=PheRS; Accession=Q8C0C7; Q3U3Q9; Q91WR4; Q922S1; [Mus musculus (Mouse)],9,0.75,0.78,0.79,0.04,-0.06,0.07,25.27,25.27,25.33,25.23,25.23,25.16
SYFB_MOUSE,Phenylalanine--tRNA ligase beta subunit; EC=6.1.1.20 {ECO:0000250|UniProtKB:Q9NSD9}; AltName: Full=Phenylalanyl-tRNA synthetase beta subunit; Short=PheRS; Accession=Q9WUA2; Q9CWZ8; [Mus musculus (Mouse)],12,0.81,0.69,0.97,0.07,-0.03,-0.01,26.03,26.03,26.06,25.96,25.96,25.97
SYG_MOUSE,Glycine--tRNA ligase; EC=3.6.1.17; EC=6.1.1.14; AltName: Full=Diadenosine tetraphosphate synthetase; Short=AP-4-A synthetase; AltName: Full=Glycyl-tRNA synthetase; Short=GlyRS; Accession=Q9CZD3; Q3TMM4; Q3UK01; Q8VC67; [Mus musculus (Mouse)],34,0.46,0.02,0.28,0.23,0.07,-0.10,28.48,28.48,28.40,28.24,28.24,28.35
SYHC_MOUSE,"Histidine--tRNA ligase, cytoplasmic; EC=6.1.1.21; AltName: Full=Histidyl-tRNA synthetase; Short=HisRS; Accession=Q61035; Q3TKU3; [Mus musculus (Mouse)]",9,0.84,0.88,0.97,-0.03,0.04,0.01,25.75,25.75,25.71,25.77,25.77,25.77
SYIC_MOUSE,"Isoleucine--tRNA ligase, cytoplasmic; EC=6.1.1.5; AltName: Full=Isoleucyl-tRNA synthetase; Short=IRS; Short=IleRS; Accession=Q8BU30; Q6NXK4; [Mus musculus (Mouse)]",9,0.14,0.54,0.28,0.11,0.20,0.28,26.98,26.98,26.78,26.86,26.86,26.59
